20230208	17:04:10	a9ddb50c-decb-4f61-aaf8-bac52677ee2d	POST	undefined	/employees
20230208	17:04:18	62348436-0ba0-4753-a3fd-14eee5580d23	PUT	undefined	/employees
20230208	17:04:24	eb74bf3b-3e90-4981-b74f-5b58338cfb1b	DELETE	undefined	/employees
20230208	17:04:30	073150be-17dd-4069-9682-00df8bf3be4c	GET	undefined	/employees/2
20230208	17:15:20	482bbdd4-9540-46a1-ae79-66c295400791	POST	undefined	/auth
20230208	17:16:46	ac8ff1ed-2b8f-4e7f-82aa-fd30c17abfb2	GET	undefined	/refresh
20230208	17:17:02	02515861-c08b-44c4-91b1-3ddb73ed78a3	GET	undefined	/employees
20230208	17:30:06	d28cac3c-1f47-4dac-97b2-ca7d9dd4aed4	POST	undefined	/logout
20230208	17:30:15	3d5909d0-5dff-4922-8814-45e501bca370	POST	undefined	/auth
20230208	17:30:55	6fa0eab8-378f-4fe7-9ded-122928078912	POST	undefined	/auth
20230208	17:31:11	128755f0-e8b2-4000-be4d-4937f3f0354e	GET	undefined	/logout
20230208	17:31:37	dc6197fd-ee84-4162-9833-761d132759b5	GET	undefined	/refresh
20230208	17:32:46	053a7bcc-7627-4df4-aa3d-121761df681d	GET	undefined	/refresh
20230208	17:32:55	9ac1c4fc-8ef0-4f03-953d-ed389c10a39b	POST	undefined	/auth
20230208	17:44:01	2f9f1bf5-3710-43d2-b8dd-716ce505bec5	POST	undefined	/auth
20230208	17:58:50	889d6267-e9fe-40c6-aab9-62d373c1b29a	POST	undefined	/auth
20230208	18:02:17	a02f88dd-e616-49d3-b12b-89691d6e9d7a	POST	undefined	/auth
20230208	18:02:21	e0162d44-83ba-45f9-8e81-2d6306191820	POST	undefined	/register
20230208	18:02:29	524ea733-9b05-41fe-8702-6dc2ea964a2a	POST	undefined	/register
20230208	18:03:11	001e61ce-0967-4a20-8ea6-8f205a130617	POST	undefined	/register
20230208	18:03:23	a3fc7d9f-d377-44fc-9f95-c9d7e64cb0a2	POST	undefined	/register
